PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count,Short version
"js-reynaud/ppa-kicad","2023-01-18","2023-01-17 19:11:09.160337+00:00","Superseded","amd64","focal","kicad-doc-en","202301171816+1959~30~ubuntu20.04.1",1,"202301171816"
"js-reynaud/ppa-kicad","2023-01-18","2023-01-17 19:11:09.160337+00:00","Superseded","arm64","focal","kicad-doc-en","202301171816+1959~30~ubuntu20.04.1",1,"202301171816"
"js-reynaud/ppa-kicad","2023-01-18","2023-01-17 19:11:09.160337+00:00","Superseded","armhf","focal","kicad-doc-en","202301171816+1959~30~ubuntu20.04.1",1,"202301171816"
"js-reynaud/ppa-kicad","2023-01-18","2023-01-17 19:11:09.160337+00:00","Superseded","i386","focal","kicad-doc-en","202301171816+1959~30~ubuntu20.04.1",1,"202301171816"
"js-reynaud/ppa-kicad","2023-01-18","2023-01-17 19:11:09.160337+00:00","Superseded","ppc64el","focal","kicad-doc-en","202301171816+1959~30~ubuntu20.04.1",1,"202301171816"
"js-reynaud/ppa-kicad","2023-01-18","2023-01-17 19:11:09.160337+00:00","Superseded","riscv64","focal","kicad-doc-en","202301171816+1959~30~ubuntu20.04.1",1,"202301171816"
"js-reynaud/ppa-kicad","2023-01-18","2023-01-17 19:11:09.160337+00:00","Superseded","s390x","focal","kicad-doc-en","202301171816+1959~30~ubuntu20.04.1",1,"202301171816"
"kicad/kicad-dev-nightly","2023-01-18","2023-01-17 21:55:19.397462+00:00","Superseded","amd64","focal","kicad-nightly","202301172033+26c821962f~164~ubuntu20.04.1",33,"202301172033"
"kicad/kicad-dev-nightly","2023-01-18","2023-01-17 21:55:19.397462+00:00","Superseded","amd64","focal","kicad-nightly-dbg","202301172033+26c821962f~164~ubuntu20.04.1",5,"202301172033"
"kicad/kicad-dev-nightly","2023-01-18","2023-01-17 21:55:19.397462+00:00","Superseded","amd64","focal","kicad-nightly-demos","202301172033+26c821962f~164~ubuntu20.04.1",35,"202301172033"
