PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count
"js-reynaud/kicad-dev-nightly","2020-10-05","2020-10-04 16:40:53.093716+00:00","Published","amd64","focal","kicad-nightly","202010041517+ba8b8d273~104~ubuntu20.04.1",11
"js-reynaud/kicad-dev-nightly","2020-10-05","2020-10-04 16:40:53.093716+00:00","Published","amd64","focal","kicad-nightly-dbg","202010041517+ba8b8d273~104~ubuntu20.04.1",1
"js-reynaud/kicad-dev-nightly","2020-10-05","2020-10-04 16:40:53.093716+00:00","Published","amd64","focal","kicad-nightly-demos","202010041517+ba8b8d273~104~ubuntu20.04.1",11
"js-reynaud/kicad-dev-nightly","2020-10-05","2020-10-04 16:40:53.093716+00:00","Published","arm64","focal","kicad-nightly-demos","202010041517+ba8b8d273~104~ubuntu20.04.1",11
"js-reynaud/kicad-dev-nightly","2020-10-05","2020-10-04 16:40:53.093716+00:00","Published","armhf","focal","kicad-nightly-demos","202010041517+ba8b8d273~104~ubuntu20.04.1",11
"js-reynaud/kicad-dev-nightly","2020-10-05","2020-10-04 16:40:53.093716+00:00","Published","i386","focal","kicad-nightly-demos","202010041517+ba8b8d273~104~ubuntu20.04.1",11
"js-reynaud/kicad-dev-nightly","2020-10-05","2020-10-04 16:40:53.093716+00:00","Published","ppc64el","focal","kicad-nightly-demos","202010041517+ba8b8d273~104~ubuntu20.04.1",11
"js-reynaud/kicad-dev-nightly","2020-10-05","2020-10-04 16:40:53.093716+00:00","Published","riscv64","focal","kicad-nightly-demos","202010041517+ba8b8d273~104~ubuntu20.04.1",11
"js-reynaud/kicad-dev-nightly","2020-10-05","2020-10-04 16:40:53.093716+00:00","Published","s390x","focal","kicad-nightly-demos","202010041517+ba8b8d273~104~ubuntu20.04.1",11
"js-reynaud/kicad-dev-nightly","2020-10-05","2020-10-04 16:56:51.203456+00:00","Published","amd64","bionic","kicad-nightly","202010041517+ba8b8d273~104~ubuntu18.04.1",13
"js-reynaud/kicad-dev-nightly","2020-10-05","2020-10-04 16:56:51.203456+00:00","Published","amd64","bionic","kicad-nightly-demos","202010041517+ba8b8d273~104~ubuntu18.04.1",13
