PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count,Short version
"js-reynaud/kicad-dev-nightly","2021-12-04","2021-12-04 10:00:49.468957+00:00","Superseded","amd64","bionic","kicad-nightly","202112040848+10be483430~144~ubuntu18.04.1",2,"202112040848"
"js-reynaud/kicad-dev-nightly","2021-12-04","2021-12-04 10:00:49.468957+00:00","Superseded","amd64","bionic","kicad-nightly-demos","202112040848+10be483430~144~ubuntu18.04.1",3,"202112040848"
"js-reynaud/kicad-dev-nightly","2021-12-04","2021-12-04 10:00:49.468957+00:00","Superseded","arm64","bionic","kicad-nightly-demos","202112040848+10be483430~144~ubuntu18.04.1",3,"202112040848"
"js-reynaud/kicad-dev-nightly","2021-12-04","2021-12-04 10:00:49.468957+00:00","Superseded","armhf","bionic","kicad-nightly-demos","202112040848+10be483430~144~ubuntu18.04.1",3,"202112040848"
"js-reynaud/kicad-dev-nightly","2021-12-04","2021-12-04 10:00:49.468957+00:00","Superseded","i386","bionic","kicad-nightly-demos","202112040848+10be483430~144~ubuntu18.04.1",3,"202112040848"
"js-reynaud/kicad-dev-nightly","2021-12-04","2021-12-04 10:00:49.468957+00:00","Superseded","ppc64el","bionic","kicad-nightly-demos","202112040848+10be483430~144~ubuntu18.04.1",3,"202112040848"
"js-reynaud/kicad-dev-nightly","2021-12-04","2021-12-04 10:00:49.468957+00:00","Superseded","s390x","bionic","kicad-nightly-demos","202112040848+10be483430~144~ubuntu18.04.1",3,"202112040848"
"js-reynaud/kicad-dev-nightly","2021-12-04","2021-12-04 10:29:06.177438+00:00","Superseded","amd64","focal","kicad-nightly","202112040853+10be483430~144~ubuntu20.04.1",3,"202112040853"
"js-reynaud/kicad-dev-nightly","2021-12-04","2021-12-04 10:29:06.177438+00:00","Superseded","amd64","focal","kicad-nightly-demos","202112040853+10be483430~144~ubuntu20.04.1",4,"202112040853"
"js-reynaud/kicad-dev-nightly","2021-12-04","2021-12-04 10:29:06.177438+00:00","Superseded","arm64","focal","kicad-nightly-demos","202112040853+10be483430~144~ubuntu20.04.1",4,"202112040853"
"js-reynaud/kicad-dev-nightly","2021-12-04","2021-12-04 10:29:06.177438+00:00","Superseded","armhf","focal","kicad-nightly-demos","202112040853+10be483430~144~ubuntu20.04.1",4,"202112040853"
"js-reynaud/kicad-dev-nightly","2021-12-04","2021-12-04 10:29:06.177438+00:00","Superseded","i386","focal","kicad-nightly-demos","202112040853+10be483430~144~ubuntu20.04.1",4,"202112040853"
"js-reynaud/kicad-dev-nightly","2021-12-04","2021-12-04 10:29:06.177438+00:00","Superseded","ppc64el","focal","kicad-nightly-demos","202112040853+10be483430~144~ubuntu20.04.1",4,"202112040853"
"js-reynaud/kicad-dev-nightly","2021-12-04","2021-12-04 10:29:06.177438+00:00","Superseded","riscv64","focal","kicad-nightly-demos","202112040853+10be483430~144~ubuntu20.04.1",4,"202112040853"
"js-reynaud/kicad-dev-nightly","2021-12-04","2021-12-04 10:29:06.177438+00:00","Superseded","s390x","focal","kicad-nightly-demos","202112040853+10be483430~144~ubuntu20.04.1",4,"202112040853"
"js-reynaud/ppa-kicad","2021-12-04","2021-12-04 16:24:45.105208+00:00","Superseded","amd64","focal","kicad","202112041505+10be483430~116~ubuntu20.04.1",5,"202112041505"
"js-reynaud/ppa-kicad","2021-12-04","2021-12-04 16:24:45.105208+00:00","Superseded","amd64","focal","kicad-demos","202112041505+10be483430~116~ubuntu20.04.1",6,"202112041505"
"js-reynaud/ppa-kicad","2021-12-04","2021-12-04 16:24:45.105208+00:00","Superseded","arm64","focal","kicad-demos","202112041505+10be483430~116~ubuntu20.04.1",6,"202112041505"
"js-reynaud/ppa-kicad","2021-12-04","2021-12-04 16:24:45.105208+00:00","Superseded","armhf","focal","kicad-demos","202112041505+10be483430~116~ubuntu20.04.1",6,"202112041505"
"js-reynaud/ppa-kicad","2021-12-04","2021-12-04 16:24:45.105208+00:00","Superseded","i386","focal","kicad-demos","202112041505+10be483430~116~ubuntu20.04.1",6,"202112041505"
"js-reynaud/ppa-kicad","2021-12-04","2021-12-04 16:24:45.105208+00:00","Superseded","ppc64el","focal","kicad-demos","202112041505+10be483430~116~ubuntu20.04.1",6,"202112041505"
"js-reynaud/ppa-kicad","2021-12-04","2021-12-04 16:24:45.105208+00:00","Superseded","riscv64","focal","kicad-demos","202112041505+10be483430~116~ubuntu20.04.1",6,"202112041505"
"js-reynaud/ppa-kicad","2021-12-04","2021-12-04 16:24:45.105208+00:00","Superseded","s390x","focal","kicad-demos","202112041505+10be483430~116~ubuntu20.04.1",6,"202112041505"
"js-reynaud/ppa-kicad","2021-12-04","2021-12-04 16:38:30.504464+00:00","Published","amd64","bionic","kicad","202112041504+10be483430~116~ubuntu18.04.1",1,"202112041504"
"js-reynaud/ppa-kicad","2021-12-04","2021-12-04 16:38:30.504464+00:00","Published","amd64","bionic","kicad-demos","202112041504+10be483430~116~ubuntu18.04.1",1,"202112041504"
"js-reynaud/ppa-kicad","2021-12-04","2021-12-04 16:38:30.504464+00:00","Published","arm64","bionic","kicad-demos","202112041504+10be483430~116~ubuntu18.04.1",1,"202112041504"
"js-reynaud/ppa-kicad","2021-12-04","2021-12-04 16:38:30.504464+00:00","Published","armhf","bionic","kicad-demos","202112041504+10be483430~116~ubuntu18.04.1",1,"202112041504"
"js-reynaud/ppa-kicad","2021-12-04","2021-12-04 16:38:30.504464+00:00","Published","i386","bionic","kicad-demos","202112041504+10be483430~116~ubuntu18.04.1",1,"202112041504"
"js-reynaud/ppa-kicad","2021-12-04","2021-12-04 16:38:30.504464+00:00","Published","ppc64el","bionic","kicad-demos","202112041504+10be483430~116~ubuntu18.04.1",1,"202112041504"
"js-reynaud/ppa-kicad","2021-12-04","2021-12-04 16:38:30.504464+00:00","Published","s390x","bionic","kicad-demos","202112041504+10be483430~116~ubuntu18.04.1",1,"202112041504"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:12:25.001721+00:00","Published","amd64","impish","kicad-nightly-demos","202112040948+10be483430~144~ubuntu21.10.1",29,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:12:25.001721+00:00","Published","arm64","impish","kicad-nightly-demos","202112040948+10be483430~144~ubuntu21.10.1",29,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:12:25.001721+00:00","Published","armhf","impish","kicad-nightly-demos","202112040948+10be483430~144~ubuntu21.10.1",29,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:12:25.001721+00:00","Published","i386","impish","kicad-nightly-demos","202112040948+10be483430~144~ubuntu21.10.1",29,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:12:25.001721+00:00","Published","ppc64el","impish","kicad-nightly-demos","202112040948+10be483430~144~ubuntu21.10.1",29,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:12:25.001721+00:00","Published","riscv64","impish","kicad-nightly-demos","202112040948+10be483430~144~ubuntu21.10.1",29,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:12:25.001721+00:00","Published","s390x","impish","kicad-nightly-demos","202112040948+10be483430~144~ubuntu21.10.1",29,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:12:25.001721+00:00","Superseded","amd64","impish","kicad-nightly","202112040948+10be483430~144~ubuntu21.10.1",29,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:12:25.001721+00:00","Superseded","amd64","impish","kicad-nightly-dbg","202112040948+10be483430~144~ubuntu21.10.1",2,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:39:08.787924+00:00","Superseded","amd64","focal","kicad-nightly","202112040949+10be483430~144~ubuntu20.04.1",125,"202112040949"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:39:08.787924+00:00","Superseded","amd64","focal","kicad-nightly-dbg","202112040949+10be483430~144~ubuntu20.04.1",20,"202112040949"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:39:08.787924+00:00","Superseded","amd64","focal","kicad-nightly-demos","202112040949+10be483430~144~ubuntu20.04.1",129,"202112040949"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:39:08.787924+00:00","Superseded","arm64","focal","kicad-nightly-demos","202112040949+10be483430~144~ubuntu20.04.1",129,"202112040949"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:39:08.787924+00:00","Superseded","armhf","focal","kicad-nightly-demos","202112040949+10be483430~144~ubuntu20.04.1",129,"202112040949"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:39:08.787924+00:00","Superseded","i386","focal","kicad-nightly-demos","202112040949+10be483430~144~ubuntu20.04.1",129,"202112040949"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:39:08.787924+00:00","Superseded","ppc64el","focal","kicad-nightly-demos","202112040949+10be483430~144~ubuntu20.04.1",129,"202112040949"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:39:08.787924+00:00","Superseded","riscv64","focal","kicad-nightly-demos","202112040949+10be483430~144~ubuntu20.04.1",129,"202112040949"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 11:39:08.787924+00:00","Superseded","s390x","focal","kicad-nightly-demos","202112040949+10be483430~144~ubuntu20.04.1",129,"202112040949"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 12:20:40.306277+00:00","Superseded","amd64","bionic","kicad-nightly","202112040948+10be483430~144~ubuntu18.04.1",14,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 12:20:40.306277+00:00","Superseded","amd64","bionic","kicad-nightly-dbg","202112040948+10be483430~144~ubuntu18.04.1",1,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 12:20:40.306277+00:00","Superseded","amd64","bionic","kicad-nightly-demos","202112040948+10be483430~144~ubuntu18.04.1",14,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 12:20:40.306277+00:00","Superseded","arm64","bionic","kicad-nightly-demos","202112040948+10be483430~144~ubuntu18.04.1",14,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 12:20:40.306277+00:00","Superseded","armhf","bionic","kicad-nightly-demos","202112040948+10be483430~144~ubuntu18.04.1",14,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 12:20:40.306277+00:00","Superseded","i386","bionic","kicad-nightly-demos","202112040948+10be483430~144~ubuntu18.04.1",14,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 12:20:40.306277+00:00","Superseded","ppc64el","bionic","kicad-nightly-demos","202112040948+10be483430~144~ubuntu18.04.1",14,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 12:20:40.306277+00:00","Superseded","s390x","bionic","kicad-nightly-demos","202112040948+10be483430~144~ubuntu18.04.1",14,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 12:49:05.405525+00:00","Superseded","arm64","impish","kicad-nightly","202112040948+10be483430~144~ubuntu21.10.1",1,"202112040948"
"kicad/kicad-dev-nightly","2021-12-04","2021-12-04 12:49:05.405525+00:00","Superseded","arm64","impish","kicad-nightly-dbg","202112040948+10be483430~144~ubuntu21.10.1",1,"202112040948"
