PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count,Short version
"js-reynaud/kicad-dev-nightly","2021-12-05","2021-12-04 10:00:49.468957+00:00","Superseded","amd64","bionic","kicad-nightly","202112040848+10be483430~144~ubuntu18.04.1",1,"202112040848"
"js-reynaud/kicad-dev-nightly","2021-12-05","2021-12-04 10:00:49.468957+00:00","Superseded","amd64","bionic","kicad-nightly-demos","202112040848+10be483430~144~ubuntu18.04.1",1,"202112040848"
"js-reynaud/kicad-dev-nightly","2021-12-05","2021-12-04 10:00:49.468957+00:00","Superseded","arm64","bionic","kicad-nightly-demos","202112040848+10be483430~144~ubuntu18.04.1",1,"202112040848"
"js-reynaud/kicad-dev-nightly","2021-12-05","2021-12-04 10:00:49.468957+00:00","Superseded","armhf","bionic","kicad-nightly-demos","202112040848+10be483430~144~ubuntu18.04.1",1,"202112040848"
"js-reynaud/kicad-dev-nightly","2021-12-05","2021-12-04 10:00:49.468957+00:00","Superseded","i386","bionic","kicad-nightly-demos","202112040848+10be483430~144~ubuntu18.04.1",1,"202112040848"
"js-reynaud/kicad-dev-nightly","2021-12-05","2021-12-04 10:00:49.468957+00:00","Superseded","ppc64el","bionic","kicad-nightly-demos","202112040848+10be483430~144~ubuntu18.04.1",1,"202112040848"
"js-reynaud/kicad-dev-nightly","2021-12-05","2021-12-04 10:00:49.468957+00:00","Superseded","s390x","bionic","kicad-nightly-demos","202112040848+10be483430~144~ubuntu18.04.1",1,"202112040848"
"js-reynaud/kicad-dev-nightly","2021-12-05","2021-12-04 10:29:06.177438+00:00","Superseded","amd64","focal","kicad-nightly","202112040853+10be483430~144~ubuntu20.04.1",1,"202112040853"
"js-reynaud/kicad-dev-nightly","2021-12-05","2021-12-04 10:29:06.177438+00:00","Superseded","amd64","focal","kicad-nightly-demos","202112040853+10be483430~144~ubuntu20.04.1",1,"202112040853"
"js-reynaud/kicad-dev-nightly","2021-12-05","2021-12-04 10:29:06.177438+00:00","Superseded","arm64","focal","kicad-nightly-demos","202112040853+10be483430~144~ubuntu20.04.1",1,"202112040853"
