PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count,Short version
"js-reynaud/ppa-kicad","2022-09-01","2022-08-31 13:33:54.113038+00:00","Superseded","amd64","focal","kicad-footprints","202208311316+c2f511c0c~11~ubuntu20.04.1",9,"202208311316"
"js-reynaud/ppa-kicad","2022-09-01","2022-08-31 13:33:54.113038+00:00","Superseded","arm64","focal","kicad-footprints","202208311316+c2f511c0c~11~ubuntu20.04.1",9,"202208311316"
"js-reynaud/ppa-kicad","2022-09-01","2022-08-31 13:33:54.113038+00:00","Superseded","armhf","focal","kicad-footprints","202208311316+c2f511c0c~11~ubuntu20.04.1",9,"202208311316"
"js-reynaud/ppa-kicad","2022-09-01","2022-08-31 13:33:54.113038+00:00","Superseded","i386","focal","kicad-footprints","202208311316+c2f511c0c~11~ubuntu20.04.1",9,"202208311316"
"js-reynaud/ppa-kicad","2022-09-01","2022-08-31 13:33:54.113038+00:00","Superseded","ppc64el","focal","kicad-footprints","202208311316+c2f511c0c~11~ubuntu20.04.1",9,"202208311316"
"js-reynaud/ppa-kicad","2022-09-01","2022-08-31 13:33:54.113038+00:00","Superseded","riscv64","focal","kicad-footprints","202208311316+c2f511c0c~11~ubuntu20.04.1",9,"202208311316"
"js-reynaud/ppa-kicad","2022-09-01","2022-08-31 13:33:54.113038+00:00","Superseded","s390x","focal","kicad-footprints","202208311316+c2f511c0c~11~ubuntu20.04.1",9,"202208311316"
"js-reynaud/ppa-kicad","2022-09-01","2022-08-31 19:37:14.496504+00:00","Superseded","amd64","focal","kicad-symbols","202208311916+5deced8c~7~ubuntu20.04.1",12,"202208311916"
"js-reynaud/ppa-kicad","2022-09-01","2022-08-31 19:37:14.496504+00:00","Superseded","arm64","focal","kicad-symbols","202208311916+5deced8c~7~ubuntu20.04.1",12,"202208311916"
"js-reynaud/ppa-kicad","2022-09-01","2022-08-31 19:37:14.496504+00:00","Superseded","armhf","focal","kicad-symbols","202208311916+5deced8c~7~ubuntu20.04.1",12,"202208311916"
"js-reynaud/ppa-kicad","2022-09-01","2022-08-31 19:37:14.496504+00:00","Superseded","i386","focal","kicad-symbols","202208311916+5deced8c~7~ubuntu20.04.1",12,"202208311916"
"js-reynaud/ppa-kicad","2022-09-01","2022-08-31 19:37:14.496504+00:00","Superseded","ppc64el","focal","kicad-symbols","202208311916+5deced8c~7~ubuntu20.04.1",12,"202208311916"
"js-reynaud/ppa-kicad","2022-09-01","2022-08-31 19:37:14.496504+00:00","Superseded","riscv64","focal","kicad-symbols","202208311916+5deced8c~7~ubuntu20.04.1",12,"202208311916"
"js-reynaud/ppa-kicad","2022-09-01","2022-08-31 19:37:14.496504+00:00","Superseded","s390x","focal","kicad-symbols","202208311916+5deced8c~7~ubuntu20.04.1",12,"202208311916"
"js-reynaud/ppa-kicad","2022-09-01","2022-09-01 13:26:53.865110+00:00","Published","amd64","focal","kicad-footprints","202209011316+88b245d82~11~ubuntu20.04.1",3,"202209011316"
"js-reynaud/ppa-kicad","2022-09-01","2022-09-01 13:26:53.865110+00:00","Published","arm64","focal","kicad-footprints","202209011316+88b245d82~11~ubuntu20.04.1",3,"202209011316"
"js-reynaud/ppa-kicad","2022-09-01","2022-09-01 13:26:53.865110+00:00","Published","armhf","focal","kicad-footprints","202209011316+88b245d82~11~ubuntu20.04.1",3,"202209011316"
"js-reynaud/ppa-kicad","2022-09-01","2022-09-01 13:26:53.865110+00:00","Published","i386","focal","kicad-footprints","202209011316+88b245d82~11~ubuntu20.04.1",3,"202209011316"
"js-reynaud/ppa-kicad","2022-09-01","2022-09-01 13:26:53.865110+00:00","Published","ppc64el","focal","kicad-footprints","202209011316+88b245d82~11~ubuntu20.04.1",3,"202209011316"
