PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:40:05.812650+00:00","Published","amd64","focal","kicad-nightly","202009141517+d4461f6c5~104~ubuntu20.04.1",16
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:40:05.812650+00:00","Published","amd64","focal","kicad-nightly-dbg","202009141517+d4461f6c5~104~ubuntu20.04.1",4
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:40:05.812650+00:00","Published","amd64","focal","kicad-nightly-demos","202009141517+d4461f6c5~104~ubuntu20.04.1",16
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:40:05.812650+00:00","Published","arm64","focal","kicad-nightly-demos","202009141517+d4461f6c5~104~ubuntu20.04.1",16
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:40:05.812650+00:00","Published","armhf","focal","kicad-nightly-demos","202009141517+d4461f6c5~104~ubuntu20.04.1",16
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:40:05.812650+00:00","Published","i386","focal","kicad-nightly-demos","202009141517+d4461f6c5~104~ubuntu20.04.1",16
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:40:05.812650+00:00","Published","ppc64el","focal","kicad-nightly-demos","202009141517+d4461f6c5~104~ubuntu20.04.1",16
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:40:05.812650+00:00","Published","riscv64","focal","kicad-nightly-demos","202009141517+d4461f6c5~104~ubuntu20.04.1",16
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:40:05.812650+00:00","Published","s390x","focal","kicad-nightly-demos","202009141517+d4461f6c5~104~ubuntu20.04.1",16
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Published","amd64","bionic","kicad-nightly","202009141516+d4461f6c5~104~ubuntu18.04.1",20
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Published","amd64","bionic","kicad-nightly-dbg","202009141516+d4461f6c5~104~ubuntu18.04.1",1
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Published","amd64","bionic","kicad-nightly-demos","202009141516+d4461f6c5~104~ubuntu18.04.1",20
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Published","arm64","bionic","kicad-nightly-demos","202009141516+d4461f6c5~104~ubuntu18.04.1",20
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Published","armhf","bionic","kicad-nightly-demos","202009141516+d4461f6c5~104~ubuntu18.04.1",20
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Published","i386","bionic","kicad-nightly-demos","202009141516+d4461f6c5~104~ubuntu18.04.1",20
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Published","ppc64el","bionic","kicad-nightly-demos","202009141516+d4461f6c5~104~ubuntu18.04.1",20
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Published","s390x","bionic","kicad-nightly-demos","202009141516+d4461f6c5~104~ubuntu18.04.1",20
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","amd64","bionic","kicad-nightly-footprints","202009141622+a821f97f~12~ubuntu18.04.1",19
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","amd64","focal","kicad-nightly-footprints","202009141622+a821f97f~12~ubuntu20.04.1",10
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","amd64","xenial","kicad-nightly-footprints","202009141621+a821f97f~12~ubuntu16.04.1",2
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","arm64","bionic","kicad-nightly-footprints","202009141622+a821f97f~12~ubuntu18.04.1",19
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","arm64","focal","kicad-nightly-footprints","202009141622+a821f97f~12~ubuntu20.04.1",10
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","arm64","xenial","kicad-nightly-footprints","202009141621+a821f97f~12~ubuntu16.04.1",2
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","armhf","bionic","kicad-nightly-footprints","202009141622+a821f97f~12~ubuntu18.04.1",19
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","armhf","focal","kicad-nightly-footprints","202009141622+a821f97f~12~ubuntu20.04.1",10
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","armhf","xenial","kicad-nightly-footprints","202009141621+a821f97f~12~ubuntu16.04.1",2
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","i386","bionic","kicad-nightly-footprints","202009141622+a821f97f~12~ubuntu18.04.1",19
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","i386","focal","kicad-nightly-footprints","202009141622+a821f97f~12~ubuntu20.04.1",10
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","i386","xenial","kicad-nightly-footprints","202009141621+a821f97f~12~ubuntu16.04.1",2
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","powerpc","xenial","kicad-nightly-footprints","202009141621+a821f97f~12~ubuntu16.04.1",2
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","ppc64el","bionic","kicad-nightly-footprints","202009141622+a821f97f~12~ubuntu18.04.1",19
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","ppc64el","focal","kicad-nightly-footprints","202009141622+a821f97f~12~ubuntu20.04.1",10
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","ppc64el","xenial","kicad-nightly-footprints","202009141621+a821f97f~12~ubuntu16.04.1",2
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","riscv64","focal","kicad-nightly-footprints","202009141622+a821f97f~12~ubuntu20.04.1",10
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","s390x","bionic","kicad-nightly-footprints","202009141622+a821f97f~12~ubuntu18.04.1",19
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","s390x","focal","kicad-nightly-footprints","202009141622+a821f97f~12~ubuntu20.04.1",10
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 16:57:17.976751+00:00","Superseded","s390x","xenial","kicad-nightly-footprints","202009141621+a821f97f~12~ubuntu16.04.1",2
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 23:23:09.215019+00:00","Published","amd64","focal","kicad-nightly-packages3d","202009142222+1d969429~8~ubuntu20.04.1",10
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 23:23:09.215019+00:00","Published","arm64","focal","kicad-nightly-packages3d","202009142222+1d969429~8~ubuntu20.04.1",10
"js-reynaud/kicad-dev-nightly","2020-09-15","2020-09-14 23:23:09.215019+00:00","Published","armhf","focal","kicad-nightly-packages3d","202009142222+1d969429~8~ubuntu20.04.1",10
