PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count
"js-reynaud/kicad-5.1","2021-07-12","2021-07-12 09:55:53.259732+00:00","Published","amd64","focal","kicad","5.1.7-202107120847+a382d34a88~90~ubuntu20.04.1",51
"js-reynaud/kicad-5.1","2021-07-12","2021-07-12 09:55:53.259732+00:00","Published","amd64","focal","kicad-demos","5.1.7-202107120847+a382d34a88~90~ubuntu20.04.1",50
"js-reynaud/kicad-5.1","2021-07-12","2021-07-12 09:55:53.259732+00:00","Published","arm64","focal","kicad-demos","5.1.7-202107120847+a382d34a88~90~ubuntu20.04.1",50
"js-reynaud/kicad-5.1","2021-07-12","2021-07-12 09:55:53.259732+00:00","Published","armhf","focal","kicad-demos","5.1.7-202107120847+a382d34a88~90~ubuntu20.04.1",50
"js-reynaud/kicad-5.1","2021-07-12","2021-07-12 09:55:53.259732+00:00","Published","i386","focal","kicad-demos","5.1.7-202107120847+a382d34a88~90~ubuntu20.04.1",50
"js-reynaud/kicad-5.1","2021-07-12","2021-07-12 09:55:53.259732+00:00","Published","ppc64el","focal","kicad-demos","5.1.7-202107120847+a382d34a88~90~ubuntu20.04.1",50
"js-reynaud/kicad-5.1","2021-07-12","2021-07-12 09:55:53.259732+00:00","Published","riscv64","focal","kicad-demos","5.1.7-202107120847+a382d34a88~90~ubuntu20.04.1",50
"js-reynaud/kicad-5.1","2021-07-12","2021-07-12 09:55:53.259732+00:00","Published","s390x","focal","kicad-demos","5.1.7-202107120847+a382d34a88~90~ubuntu20.04.1",50
"js-reynaud/kicad-dev-nightly","2021-07-12","2021-07-11 22:34:07.804319+00:00","Superseded","amd64","bionic","kicad-nightly","202107112117+5bd30232e8~131~ubuntu18.04.1",5
"js-reynaud/kicad-dev-nightly","2021-07-12","2021-07-11 22:34:07.804319+00:00","Superseded","amd64","bionic","kicad-nightly-dbg","202107112117+5bd30232e8~131~ubuntu18.04.1",2
"js-reynaud/kicad-dev-nightly","2021-07-12","2021-07-11 22:34:07.804319+00:00","Superseded","amd64","bionic","kicad-nightly-demos","202107112117+5bd30232e8~131~ubuntu18.04.1",5
"js-reynaud/kicad-dev-nightly","2021-07-12","2021-07-11 22:34:07.804319+00:00","Superseded","arm64","bionic","kicad-nightly-demos","202107112117+5bd30232e8~131~ubuntu18.04.1",5
"js-reynaud/kicad-dev-nightly","2021-07-12","2021-07-11 22:34:07.804319+00:00","Superseded","armhf","bionic","kicad-nightly-demos","202107112117+5bd30232e8~131~ubuntu18.04.1",5
"js-reynaud/kicad-dev-nightly","2021-07-12","2021-07-11 22:34:07.804319+00:00","Superseded","i386","bionic","kicad-nightly-demos","202107112117+5bd30232e8~131~ubuntu18.04.1",5
"js-reynaud/kicad-dev-nightly","2021-07-12","2021-07-11 22:34:07.804319+00:00","Superseded","ppc64el","bionic","kicad-nightly-demos","202107112117+5bd30232e8~131~ubuntu18.04.1",5
"js-reynaud/kicad-dev-nightly","2021-07-12","2021-07-11 22:34:07.804319+00:00","Superseded","s390x","bionic","kicad-nightly-demos","202107112117+5bd30232e8~131~ubuntu18.04.1",5
"js-reynaud/kicad-dev-nightly","2021-07-12","2021-07-11 23:09:10.272975+00:00","Superseded","amd64","focal","kicad-nightly","202107112120+5bd30232e8~131~ubuntu20.04.1",8
"js-reynaud/kicad-dev-nightly","2021-07-12","2021-07-11 23:09:10.272975+00:00","Superseded","amd64","focal","kicad-nightly-dbg","202107112120+5bd30232e8~131~ubuntu20.04.1",1
"js-reynaud/kicad-dev-nightly","2021-07-12","2021-07-11 23:09:10.272975+00:00","Superseded","amd64","focal","kicad-nightly-demos","202107112120+5bd30232e8~131~ubuntu20.04.1",8
"js-reynaud/kicad-dev-nightly","2021-07-12","2021-07-11 23:09:10.272975+00:00","Superseded","arm64","focal","kicad-nightly-demos","202107112120+5bd30232e8~131~ubuntu20.04.1",8
"js-reynaud/kicad-dev-nightly","2021-07-12","2021-07-11 23:09:10.272975+00:00","Superseded","armhf","focal","kicad-nightly-demos","202107112120+5bd30232e8~131~ubuntu20.04.1",8
"js-reynaud/kicad-dev-nightly","2021-07-12","2021-07-11 23:09:10.272975+00:00","Superseded","i386","focal","kicad-nightly-demos","202107112120+5bd30232e8~131~ubuntu20.04.1",8
