PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count
"kicad-5.1","2019-02-12","2019-02-11 10:13:58.186425+00:00","Published","amd64","bionic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.04.1",1
"kicad-5.1","2019-02-12","2019-02-11 10:13:58.186425+00:00","Published","amd64","cosmic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.10.1",1
"kicad-5.1","2019-02-12","2019-02-11 10:13:58.186425+00:00","Published","arm64","bionic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.04.1",1
"kicad-5.1","2019-02-12","2019-02-11 10:13:58.186425+00:00","Published","arm64","cosmic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.10.1",1
"kicad-5.1","2019-02-12","2019-02-11 10:13:58.186425+00:00","Published","armhf","bionic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.04.1",1
"kicad-5.1","2019-02-12","2019-02-11 10:13:58.186425+00:00","Published","armhf","cosmic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.10.1",1
"kicad-5.1","2019-02-12","2019-02-11 10:13:58.186425+00:00","Published","i386","bionic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.04.1",1
"kicad-5.1","2019-02-12","2019-02-11 10:13:58.186425+00:00","Published","i386","cosmic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.10.1",1
"kicad-5.1","2019-02-12","2019-02-11 10:13:58.186425+00:00","Published","ppc64el","bionic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.04.1",1
"kicad-5.1","2019-02-12","2019-02-11 10:13:58.186425+00:00","Published","ppc64el","cosmic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.10.1",1
"kicad-5.1","2019-02-12","2019-02-11 10:13:58.186425+00:00","Published","s390x","bionic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.04.1",1
