PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count
"kicad-dev-nightly","2019-04-26","2019-04-26 08:32:36.906139+00:00","Superseded","amd64","xenial","kicad-nightly","201904260734+d89d0e6~100~ubuntu16.04.1",6
"kicad-dev-nightly","2019-04-26","2019-04-26 08:32:36.906139+00:00","Superseded","amd64","xenial","kicad-nightly-dbg","201904260734+d89d0e6~100~ubuntu16.04.1",2
"kicad-dev-nightly","2019-04-26","2019-04-26 08:32:36.906139+00:00","Superseded","amd64","xenial","kicad-nightly-demos","201904260734+d89d0e6~100~ubuntu16.04.1",6
"kicad-dev-nightly","2019-04-26","2019-04-26 08:32:36.906139+00:00","Superseded","arm64","xenial","kicad-nightly-demos","201904260734+d89d0e6~100~ubuntu16.04.1",6
"kicad-dev-nightly","2019-04-26","2019-04-26 08:32:36.906139+00:00","Superseded","armhf","xenial","kicad-nightly-demos","201904260734+d89d0e6~100~ubuntu16.04.1",6
"kicad-dev-nightly","2019-04-26","2019-04-26 08:32:36.906139+00:00","Superseded","i386","xenial","kicad-nightly-demos","201904260734+d89d0e6~100~ubuntu16.04.1",6
"kicad-dev-nightly","2019-04-26","2019-04-26 08:32:36.906139+00:00","Superseded","powerpc","xenial","kicad-nightly-demos","201904260734+d89d0e6~100~ubuntu16.04.1",6
"kicad-dev-nightly","2019-04-26","2019-04-26 08:32:36.906139+00:00","Superseded","ppc64el","xenial","kicad-nightly-demos","201904260734+d89d0e6~100~ubuntu16.04.1",6
"kicad-dev-nightly","2019-04-26","2019-04-26 08:32:36.906139+00:00","Superseded","s390x","xenial","kicad-nightly-demos","201904260734+d89d0e6~100~ubuntu16.04.1",6
"kicad-dev-nightly","2019-04-26","2019-04-26 08:45:35.580188+00:00","Superseded","amd64","bionic","kicad-nightly","201904260734+d89d0e6~100~ubuntu18.04.1",18
"kicad-dev-nightly","2019-04-26","2019-04-26 08:45:35.580188+00:00","Superseded","amd64","bionic","kicad-nightly-dbg","201904260734+d89d0e6~100~ubuntu18.04.1",5
"kicad-dev-nightly","2019-04-26","2019-04-26 08:45:35.580188+00:00","Superseded","amd64","bionic","kicad-nightly-demos","201904260734+d89d0e6~100~ubuntu18.04.1",21
"kicad-dev-nightly","2019-04-26","2019-04-26 08:45:35.580188+00:00","Superseded","arm64","bionic","kicad-nightly-demos","201904260734+d89d0e6~100~ubuntu18.04.1",21
"kicad-dev-nightly","2019-04-26","2019-04-26 08:45:35.580188+00:00","Superseded","armhf","bionic","kicad-nightly-demos","201904260734+d89d0e6~100~ubuntu18.04.1",21
