PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count,Short version
"js-reynaud/ppa-kicad","2023-02-15","2023-02-15 02:52:30.246990+00:00","Superseded","amd64","focal","kicad-doc-de","202302150216+2034~30~ubuntu20.04.1",1,"202302150216"
"js-reynaud/ppa-kicad","2023-02-15","2023-02-15 02:52:30.246990+00:00","Superseded","amd64","focal","kicad-doc-en","202302150216+2034~30~ubuntu20.04.1",5,"202302150216"
"js-reynaud/ppa-kicad","2023-02-15","2023-02-15 02:52:30.246990+00:00","Superseded","arm64","focal","kicad-doc-de","202302150216+2034~30~ubuntu20.04.1",1,"202302150216"
"js-reynaud/ppa-kicad","2023-02-15","2023-02-15 02:52:30.246990+00:00","Superseded","arm64","focal","kicad-doc-en","202302150216+2034~30~ubuntu20.04.1",5,"202302150216"
"js-reynaud/ppa-kicad","2023-02-15","2023-02-15 02:52:30.246990+00:00","Superseded","armhf","focal","kicad-doc-de","202302150216+2034~30~ubuntu20.04.1",1,"202302150216"
"js-reynaud/ppa-kicad","2023-02-15","2023-02-15 02:52:30.246990+00:00","Superseded","armhf","focal","kicad-doc-en","202302150216+2034~30~ubuntu20.04.1",5,"202302150216"
"js-reynaud/ppa-kicad","2023-02-15","2023-02-15 02:52:30.246990+00:00","Superseded","i386","focal","kicad-doc-de","202302150216+2034~30~ubuntu20.04.1",1,"202302150216"
"js-reynaud/ppa-kicad","2023-02-15","2023-02-15 02:52:30.246990+00:00","Superseded","i386","focal","kicad-doc-en","202302150216+2034~30~ubuntu20.04.1",5,"202302150216"
"js-reynaud/ppa-kicad","2023-02-15","2023-02-15 02:52:30.246990+00:00","Superseded","ppc64el","focal","kicad-doc-de","202302150216+2034~30~ubuntu20.04.1",1,"202302150216"
"js-reynaud/ppa-kicad","2023-02-15","2023-02-15 02:52:30.246990+00:00","Superseded","ppc64el","focal","kicad-doc-en","202302150216+2034~30~ubuntu20.04.1",5,"202302150216"
"js-reynaud/ppa-kicad","2023-02-15","2023-02-15 02:52:30.246990+00:00","Superseded","riscv64","focal","kicad-doc-de","202302150216+2034~30~ubuntu20.04.1",1,"202302150216"
"js-reynaud/ppa-kicad","2023-02-15","2023-02-15 02:52:30.246990+00:00","Superseded","riscv64","focal","kicad-doc-en","202302150216+2034~30~ubuntu20.04.1",5,"202302150216"
"js-reynaud/ppa-kicad","2023-02-15","2023-02-15 02:52:30.246990+00:00","Superseded","s390x","focal","kicad-doc-de","202302150216+2034~30~ubuntu20.04.1",1,"202302150216"
"js-reynaud/ppa-kicad","2023-02-15","2023-02-15 02:52:30.246990+00:00","Superseded","s390x","focal","kicad-doc-en","202302150216+2034~30~ubuntu20.04.1",5,"202302150216"
"kicad/kicad-7.0-releases","2023-02-15","2023-02-14 11:24:52.433793+00:00","Published","amd64","focal","kicad-templates","7.0.0-0-202302141041+66d7655~9~ubuntu20.04.1",24,"7.0.0"
"kicad/kicad-7.0-releases","2023-02-15","2023-02-14 11:24:52.433793+00:00","Published","amd64","jammy","kicad-templates","7.0.0-0-202302141041+66d7655~9~ubuntu22.04.1",233,"7.0.0"
"kicad/kicad-7.0-releases","2023-02-15","2023-02-14 11:24:52.433793+00:00","Published","amd64","kinetic","kicad-templates","7.0.0-0-202302141040+66d7655~9~ubuntu22.10.1",47,"7.0.0"
"kicad/kicad-7.0-releases","2023-02-15","2023-02-14 11:24:52.433793+00:00","Published","amd64","lunar","kicad-templates","7.0.0-0-202302141040+66d7655~9~ubuntu23.04.1",2,"7.0.0"
"kicad/kicad-7.0-releases","2023-02-15","2023-02-14 11:24:52.433793+00:00","Published","arm64","focal","kicad-templates","7.0.0-0-202302141041+66d7655~9~ubuntu20.04.1",24,"7.0.0"
"kicad/kicad-7.0-releases","2023-02-15","2023-02-14 11:24:52.433793+00:00","Published","arm64","jammy","kicad-templates","7.0.0-0-202302141041+66d7655~9~ubuntu22.04.1",233,"7.0.0"
"kicad/kicad-7.0-releases","2023-02-15","2023-02-14 11:24:52.433793+00:00","Published","arm64","kinetic","kicad-templates","7.0.0-0-202302141040+66d7655~9~ubuntu22.10.1",47,"7.0.0"
"kicad/kicad-7.0-releases","2023-02-15","2023-02-14 11:24:52.433793+00:00","Published","arm64","lunar","kicad-templates","7.0.0-0-202302141040+66d7655~9~ubuntu23.04.1",2,"7.0.0"
"kicad/kicad-7.0-releases","2023-02-15","2023-02-14 11:24:52.433793+00:00","Published","armhf","focal","kicad-templates","7.0.0-0-202302141041+66d7655~9~ubuntu20.04.1",24,"7.0.0"
"kicad/kicad-7.0-releases","2023-02-15","2023-02-14 11:24:52.433793+00:00","Published","armhf","jammy","kicad-templates","7.0.0-0-202302141041+66d7655~9~ubuntu22.04.1",233,"7.0.0"
"kicad/kicad-7.0-releases","2023-02-15","2023-02-14 11:24:52.433793+00:00","Published","armhf","kinetic","kicad-templates","7.0.0-0-202302141040+66d7655~9~ubuntu22.10.1",47,"7.0.0"
"kicad/kicad-7.0-releases","2023-02-15","2023-02-14 11:24:52.433793+00:00","Published","armhf","lunar","kicad-templates","7.0.0-0-202302141040+66d7655~9~ubuntu23.04.1",2,"7.0.0"
